train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.88650304	0.75675678	0.96238097	0.82647059	0.35859644	0.50386041	0.50888465	-1.0	-1.0	-1.0	-1.0	15.37276697	100.0	0.0	1.0
0.80981594	0.64864862	0.9051338	0.67352941	0.47799176	0.63385642	0.29374377	-1.0	-1.0	-1.0	-1.0	25.92282987	33.0	1.0	1.0
0.9233129	0.67567569	0.98444616	0.76764706	0.27399006	0.58408946	0.34332182	-1.0	-1.0	-1.0	-1.0	43.63758349	172.0	2.0	1.0
0.82262999	0.75	0.9293737	0.78947368	0.43737572	0.54179406	0.4976726	-1.0	-1.0	-1.0	-1.0	55.55288458	52.0	3.0	1.0
0.77675843	0.6388889	0.90023286	0.6996904	0.48994213	0.64220691	0.27541132	-1.0	-1.0	-1.0	-1.0	65.91607118	29.0	4.0	1.0
0.80733943	0.58333331	0.91376521	0.70897833	0.46266428	0.595505	0.1573779	-1.0	-1.0	-1.0	-1.0	76.05322933	40.0	5.0	1.0
0.76146787	0.55555558	0.87035323	0.65634675	0.56450689	0.66943604	0.10345641	-1.0	-1.0	-1.0	-1.0	85.64565969	14.0	6.0	1.0
0.77981651	0.6388889	0.88887954	0.6996904	0.52623171	0.63012612	0.27371993	-1.0	-1.0	-1.0	-1.0	96.11267257	22.0	7.0	1.0
0.74923545	0.55555558	0.86927775	0.61609907	0.57569551	0.67212361	0.10835913	-1.0	-1.0	-1.0	-1.0	104.7464397	12.0	8.0	1.0
0.96024466	0.8611111	0.99189182	0.91331269	0.23859558	0.39413321	0.7545714	-1.0	-1.0	-1.0	-1.0	128.51899338	231.0	9.0	1.0
